seed,strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max DD,CVaR
0,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
0,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
0,MLP-L1,0.08106588944792747,0.12931437680921182,0.6268899497434162,0.9616456056841434,-0.20171183347702026,0.08583942800760269
0,MLP-L2,0.1537371687591076,0.1837111003921368,0.8368419766825809,1.382620523728973,-0.2935088276863098,0.114174984395504
0,Graph-L1,0.2074446827173233,0.24759542127461254,0.8378372801525674,1.4007503159792536,-0.4620055556297302,0.14113713800907135
0,Graph-L2,0.19936294108629227,0.265413727785153,0.7511402489937146,1.2299432493905624,-0.5219431519508362,0.14345523715019226
1,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
1,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
1,MLP-L1,0.07155346870422363,0.1323874575803333,0.5404852136838759,0.7782686428904936,-0.24109220504760742,0.09560509771108627
1,MLP-L2,0.17121173813939095,0.2013498110218042,0.850319793037464,1.4230117470417805,-0.2913416028022766,0.1194097027182579
1,Graph-L1,0.24262180924415588,0.2453991302522987,0.988682393078935,1.7315542548600251,-0.443281888961792,0.13556209206581116
1,Graph-L2,0.2131245955824852,0.24173621051250124,0.8816411340040108,1.491934548454225,-0.5543035864830017,0.1419706642627716
2,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
2,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
2,MLP-L1,0.09215845540165901,0.13913016857900493,0.6623901179665843,0.9845664070581073,-0.26445409655570984,0.09490896016359329
2,MLP-L2,0.21342019736766815,0.19799420581151095,1.077911273786112,1.9474729021347283,-0.2510899603366852,0.11050409823656082
2,Graph-L1,0.23868680745363235,0.2399578796389059,0.9947028947988069,1.7593430119860938,-0.3291333019733429,0.1303054243326187
2,Graph-L2,0.21713878959417343,0.2534437662084782,0.8567532919631021,1.4350123503988772,-0.5129438638687134,0.1465880274772644
3,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
3,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
3,MLP-L1,0.08812925778329372,0.13236150605942826,0.6658223659490653,1.0882702562720379,-0.21769645810127258,0.08266952633857727
3,MLP-L2,0.1370447538793087,0.18753234892854495,0.7307792354466494,1.1833728464205573,-0.2972399890422821,0.12034972757101059
3,Graph-L1,0.199252188205719,0.23211832651227549,0.8584077897490086,1.4492495611286444,-0.4593767821788788,0.12209922820329666
3,Graph-L2,0.19414253532886505,0.24759214345944106,0.7841223262378879,1.313966557567575,-0.44839227199554443,0.14341290295124054
4,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
4,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
4,MLP-L1,0.07368551753461361,0.14214175805370047,0.5183945475250848,0.7843588352112059,-0.20942479372024536,0.0937110185623169
4,MLP-L2,0.16005799546837807,0.21853991264042114,0.7323970537489966,1.1384673254690307,-0.3939868211746216,0.14135248959064484
4,Graph-L1,0.24150815606117249,0.2553142114312631,0.9459252003562695,1.6344846703559563,-0.4677273631095886,0.14201341569423676
4,Graph-L2,0.22061410546302795,0.2339029807300993,0.9431863388082737,1.6573337834104074,-0.5021819472312927,0.12891702353954315
5,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
5,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
5,MLP-L1,0.07793696969747543,0.1348655890882595,0.5778862083760254,0.8397268384144843,-0.2504406273365021,0.09404308348894119
5,MLP-L2,0.16032491996884346,0.23187419380591953,0.6914306004605697,1.0759658974413442,-0.45945361256599426,0.14295288920402527
5,Graph-L1,0.22538314014673233,0.24365486800883232,0.9250097596591617,1.5951143839620745,-0.36876726150512695,0.13741420209407806
5,Graph-L2,0.23683684319257736,0.23902922556264058,0.990827932135989,1.7216114058686558,-0.3877963125705719,0.13112212717533112
6,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
6,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
6,MLP-L1,0.08792601339519024,0.1425592407254058,0.6167682065371627,0.920448324961032,-0.2635360360145569,0.09137535095214844
6,MLP-L2,0.12496494501829147,0.19491442745742094,0.6411271871309691,0.9412580577494278,-0.3727704882621765,0.13090084493160248
6,Graph-L1,0.283430278301239,0.25105599399909856,1.1289524002073128,2.0848690258995206,-0.33725231885910034,0.13155797123908997
6,Graph-L2,0.18660831078886986,0.2276904111686731,0.8195703175876266,1.4298818504875437,-0.5157909989356995,0.11732113361358643
7,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
7,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
7,MLP-L1,0.07771189883351326,0.13442592309261792,0.5781019855742467,0.8847787839610399,-0.21606425940990448,0.08970584720373154
7,MLP-L2,0.09309404343366623,0.19234074892772396,0.4840058027880001,0.6690146393776436,-0.39142924547195435,0.14039786159992218
7,Graph-L1,0.23232456296682358,0.2630937315020754,0.8830486108883396,1.479286208729626,-0.4383801221847534,0.15283702313899994
7,Graph-L2,0.2038847655057907,0.24741952906678763,0.8240447228816262,1.3505350670385992,-0.5655494332313538,0.14799563586711884
8,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
8,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
8,MLP-L1,0.08135864697396755,0.13525290037464607,0.6015297323259574,0.875724887298112,-0.24860155582427979,0.09661240130662918
8,MLP-L2,0.18852777779102325,0.22937182711337886,0.8219308009371424,1.3810293360660504,-0.336516410112381,0.1404656022787094
8,Graph-L1,0.230677530169487,0.2582351060830244,0.8932849012499235,1.530553147924527,-0.4606281518936157,0.14358751475811005
8,Graph-L2,0.2109421044588089,0.24239066373536497,0.8702566860683316,1.4460433476095076,-0.3632392883300781,0.13719411194324493
9,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
9,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
9,MLP-L1,0.0900749433785677,0.1298494994931352,0.6936872055210168,1.104637790050976,-0.21041089296340942,0.08010092377662659
9,MLP-L2,0.164893951267004,0.2078047195245909,0.793504323237701,1.2356936445279563,-0.3208295404911041,0.1341232806444168
9,Graph-L1,0.19795887172222137,0.2450631671020042,0.807787094181937,1.3369836020108865,-0.49673154950141907,0.1475449502468109
9,Graph-L2,0.15941641107201576,0.2321795209986662,0.6866083775185658,1.0975946039032913,-0.5088242888450623,0.13231711089611053
10,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
10,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
10,MLP-L1,0.09494470059871674,0.14062113571937612,0.6751808208716248,1.0470012551116354,-0.2283667027950287,0.09076651185750961
10,MLP-L2,0.17827212810516357,0.21590999506144312,0.8256779395398159,1.4084077012895693,-0.3168712258338928,0.122737355530262
10,Graph-L1,0.24720849841833115,0.24801020684643268,0.9967673975762138,1.7619218449898475,-0.3386708199977875,0.13512873649597168
10,Graph-L2,0.17270658910274506,0.23548074544859451,0.7334212461385063,1.1767279462056082,-0.5910950899124146,0.1430218368768692
11,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
11,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
11,MLP-L1,0.09402516111731529,0.13418710715732754,0.7007018490983422,1.0861692875769713,-0.21656601130962372,0.08518490940332413
11,MLP-L2,0.17809544876217842,0.20510848425991865,0.86829874796161,1.4963676395963752,-0.31409651041030884,0.12089540809392929
11,Graph-L1,0.21610479801893234,0.24221691372170726,0.892195288002352,1.5006952968562617,-0.42849498987197876,0.14053091406822205
11,Graph-L2,0.26778464019298553,0.2459141343777482,1.0889354936072408,2.0363974004156242,-0.4200674593448639,0.1304418295621872
12,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
12,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
12,MLP-L1,0.08626221679151058,0.14320081497369805,0.6023863117223976,0.8852171063144544,-0.25951865315437317,0.09940699487924576
12,MLP-L2,0.17528700828552246,0.2085712637024926,0.8404177870417235,1.3964043517403906,-0.3032812178134918,0.12038079649209976
12,Graph-L1,0.20247629284858704,0.26702793561405885,0.7582588121365781,1.2856403713769018,-0.4814540445804596,0.1520717740058899
12,Graph-L2,0.20562413334846497,0.2433476825271695,0.8449808223495164,1.4700180721770497,-0.403267502784729,0.13410672545433044
13,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
13,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
13,MLP-L1,0.08516277931630611,0.13991822503206758,0.6086610461944995,0.8718930763884887,-0.28573140501976013,0.09426916390657425
13,MLP-L2,0.14660358801484108,0.20072288370351057,0.7303780117448408,1.1076907273123502,-0.3406057059764862,0.13578730821609497
13,Graph-L1,0.21956585347652435,0.24344699774590908,0.9019040961295774,1.5815652972543932,-0.47851982712745667,0.1343335658311844
13,Graph-L2,0.1724093221127987,0.2373023589681946,0.7265385628573583,1.218689844929965,-0.4356217086315155,0.13718144595623016
14,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
14,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
14,MLP-L1,0.07989522255957127,0.1436588702867388,0.5561453799452064,0.802603774719396,-0.2390977293252945,0.10185703635215759
14,MLP-L2,0.16755925118923187,0.22208088217009786,0.7544964789716967,1.2480918676339783,-0.3911968469619751,0.13130418956279755
14,Graph-L1,0.20862402766942978,0.2605494758802171,0.8007078845871947,1.3120952873050997,-0.424668550491333,0.15146656334400177
14,Graph-L2,0.19478470087051392,0.24365055781092965,0.7994428357813836,1.3714696460439841,-0.4803343117237091,0.13254684209823608
15,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
15,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
15,MLP-L1,0.0892324447631836,0.14308059400465206,0.623651580058205,0.9012921505345072,-0.2882802188396454,0.09662667661905289
15,MLP-L2,0.15836386755108833,0.18507582002926873,0.8556701732800224,1.3889468867619787,-0.286771297454834,0.11542082577943802
15,Graph-L1,0.21907950192689896,0.2381449897533843,0.9199416412428185,1.6215880736670647,-0.4172239303588867,0.12773650884628296
15,Graph-L2,0.17973506078124046,0.23535177503590177,0.7636868390601871,1.2518924443647836,-0.5756672024726868,0.1325763314962387
16,EW,0.14270003869615752,0.16986823547300842,0.8400630635749526,1.294658686295256,-0.27926085739102785,0.11463165084520975
16,SampleGMV,0.09470814832321801,0.1370601396696244,0.6909969714136935,1.014861946475158,-0.2543714785855333,0.09695931183103094
